,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025
187,"Kartotek, Kart- och teknikutbildarna i Haninge AB",Samhällsbyggnad och byggteknik,0,0,40,245,230,0
188,KompetensUtvecklingsInstitutet Sverige AB,Hälso- och sjukvård samt socialt arbete,0,95,275,395,405,255
189,KompetensUtvecklingsInstitutet Sverige AB,Pedagogik och undervisning,0,0,35,150,0,0
190,KompetensUtvecklingsinstitutet Sverige AB,Hälso- och sjukvård samt socialt arbete,120,60,0,0,0,0
191,"Kramfors kommun, Yrkeshögskolan Höga kusten",Hälso- och sjukvård samt socialt arbete,10,10,0,0,0,0
192,"Kristianstad kommun, Vuxenutbildningen",Teknik och tillverkning,0,0,30,0,0,0
193,Kunskap & Kompetens i Sverige AB,"Ekonomi, administration och försäljning",100,30,0,30,30,0
194,Kunskap & Kompetens i Sverige AB,Hälso- och sjukvård samt socialt arbete,0,0,25,50,0,0
195,"Kunskapsförbundet Väst, Vuxenutbildningen",Hälso- och sjukvård samt socialt arbete,25,35,70,180,155,175
196,"Kunskapsförbundet Väst, Vuxenutbildningen",Pedagogik och undervisning,0,0,35,70,70,0
197,Kunskapsgruppen Yrkeshögskola Sverige AB,Samhällsbyggnad och byggteknik,0,0,0,0,30,30
198,Kunskapsgruppen Yrkeshögskola Sverige AB,Teknik och tillverkning,0,0,0,0,30,30
199,Köpings kommun,Hälso- och sjukvård samt socialt arbete,0,0,0,180,0,0
200,Köpings kommun,Teknik och tillverkning,20,40,0,120,0,0
201,LAVI gruppen AB,Teknik och tillverkning,0,0,0,0,0,0
202,"Landskrona Stad, Yrkeshögskolan Landskrona",Hälso- och sjukvård samt socialt arbete,30,0,30,60,55,0
203,Lernia Utbildning AB,Data/IT,49,24,0,0,0,0
204,Lernia Utbildning AB,Teknik och tillverkning,38,38,0,95,69,0
205,Lexicon Yrkeshögskola AB,"Ekonomi, administration och försäljning",0,0,0,0,120,120
206,Lexicon Yrkeshögskola AB,Hälso- och sjukvård samt socialt arbete,0,0,0,0,50,50
207,Lexicon Yrkeshögskola AB,Pedagogik och undervisning,0,0,0,0,35,35
208,Lidköpings kommun Campus Lidköping,"Ekonomi, administration och försäljning",0,30,0,0,0,0
209,Lidköpings kommun Campus Lidköping,"Kultur, media och design",30,20,0,0,0,0
210,Lidköpings kommun Campus Lidköping,Samhällsbyggnad och byggteknik,20,30,30,0,0,0
211,Lidköpings kommun Campus Lidköping,Teknik och tillverkning,0,0,0,0,20,20
212,Malmö Tillskärarakademi AB,Teknik och tillverkning,0,15,25,40,70,70
213,"Mariestads kommun, Dacapo Mariestad","Lantbruk, djurvård, trädgård, skog och fiske",0,44,115,150,150,75
214,MedLearn AB,"Ekonomi, administration och försäljning",0,30,60,90,0,0
215,MedLearn AB,Hälso- och sjukvård samt socialt arbete,0,0,0,0,35,35
216,MedLearn AB,Pedagogik och undervisning,0,0,0,30,30,30
217,Medborgarskolan Mälardalen,Samhällsbyggnad och byggteknik,0,30,30,0,0,0
218,Medborgarskolan i Stockholm - Påhlmans Handelsinstitut,Samhällsbyggnad och byggteknik,70,0,0,0,0,0
219,Medborgarskolan i Stockholm - Påhlmans Handelsinstitut ,"Ekonomi, administration och försäljning",0,0,0,0,35,0
220,Medborgarskolan i Stockholm - Påhlmans Handelsinstitut ,Samhällsbyggnad och byggteknik,0,0,30,30,0,0
221,Medieinstitutet i Sverige AB,Data/IT,0,0,0,190,257,137
222,Medieinstitutet i Sverige AB,"Ekonomi, administration och försäljning",230,380,340,275,280,200
223,Medieinstitutet i Sverige AB,Journalistik och information,0,0,0,0,50,50
224,Medieinstitutet i Sverige AB,Juridik,0,0,0,60,130,70
225,Medieinstitutet i Sverige AB,"Kultur, media och design",0,30,90,180,0,0
226,Montico Kompetensutveckling AB,"Ekonomi, administration och försäljning",0,40,40,60,60,60
227,Montico Kompetensutveckling AB,Pedagogik och undervisning,0,0,0,30,0,0
228,Movant AB,Samhällsbyggnad och byggteknik,0,0,0,75,0,0
229,Movant AB,Teknik och tillverkning,0,0,60,30,0,0
230,Movant AB,Transporttjänster,0,0,0,25,25,25
231,Mölk Utbildning AB,Data/IT,0,0,0,0,70,70
232,NBI i Sverige AB ,"Ekonomi, administration och försäljning",0,0,0,80,160,80
233,Nackademin AB,Data/IT,70,70,155,300,112,112
234,Nackademin AB,"Ekonomi, administration och försäljning",40,0,0,0,0,0
235,Nackademin AB,Hälso- och sjukvård samt socialt arbete,40,40,0,40,40,40
236,Nackademin AB,Journalistik och information,0,0,40,160,120,0
237,Nackademin AB,"Kultur, media och design",0,35,70,0,0,0
238,Nackademin AB,Samhällsbyggnad och byggteknik,0,30,203,536,304,154
239,Nackademin AB,Säkerhetstjänster,0,0,0,0,30,30
240,Nackademin AB,Teknik och tillverkning,30,30,0,0,0,0
241,Nercia Utbildning,"Ekonomi, administration och försäljning",0,0,0,0,35,35
242,Nercia Utbildning,Samhällsbyggnad och byggteknik,0,60,90,85,165,135
243,Nercia Utbildning,Teknik och tillverkning,0,0,30,60,60,30
244,Newton Kompetensutveckling AB,"Ekonomi, administration och försäljning",0,0,0,75,0,40
245,Newton Kompetensutveckling AB,Juridik,0,0,0,0,0,0
246,Newton Kompetensutveckling AB,"Kultur, media och design",0,0,20,60,0,0
247,Newton Kompetensutveckling AB,Samhällsbyggnad och byggteknik,0,0,0,40,0,0
248,Nyköpings kommun - Flygteknik technical training,Teknik och tillverkning,0,0,0,0,15,0
249,"Nässjö kommun, Nässjöakademin","Ekonomi, administration och försäljning",20,0,0,0,0,0
250,Nätverkstan Kultur AB,"Ekonomi, administration och försäljning",0,0,0,35,0,0
251,Nätverkstan Kultur AB,"Kultur, media och design",35,0,0,35,0,0
252,One Academy AB,"Ekonomi, administration och försäljning",100,300,240,230,170,120
253,"Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling",Hälso- och sjukvård samt socialt arbete,20,40,20,40,0,0
254,"Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling",Teknik och tillverkning,60,200,0,0,0,0
255,Plushögskolan AB - Affärshögskolan,"Ekonomi, administration och försäljning",70,63,130,50,100,100
256,Plushögskolan AB - Teknikhögskolan,Data/IT,0,30,30,0,0,0
257,Plushögskolan AB - Teknikhögskolan,"Ekonomi, administration och försäljning",25,80,90,0,0,0
258,Plushögskolan AB - Teknikhögskolan,Samhällsbyggnad och byggteknik,60,0,0,40,0,0
259,Plushögskolan AB - Teknikhögskolan,Teknik och tillverkning,185,70,120,160,330,110
260,Plushögskolan AB - Vårdyrkeshögskolan,Hälso- och sjukvård samt socialt arbete,35,140,410,640,150,100
261,Plushögskolan AB - Vårdyrkeshögskolan,Pedagogik och undervisning,40,0,0,0,0,0
262,Rädda Barnen Välfärd,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0
263,"Skövde kommun, Skövde Yrkeshögskola",Hälso- och sjukvård samt socialt arbete,15,0,0,50,65,30
264,"Skövde kommun, Skövde Yrkeshögskola",Teknik och tillverkning,0,0,0,25,0,0
265,Sociala Tjänstehundar i Sverige AB/Svenska Terapihundskolan,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,20,20
266,Stadsmissionens Yrkeshögskola,Hälso- och sjukvård samt socialt arbete,70,30,60,0,0,0
267,Step by Step Competence AB,Data/IT,0,0,0,0,0,0
268,Stiftelsen Capellagården,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,0,18
269,Stiftelsen PROTEKO - Nordiska Textilakademin,"Ekonomi, administration och försäljning",0,0,40,120,0,0
270,Stiftelsen PROTEKO - Nordiska Textilakademin,"Kultur, media och design",0,25,90,105,70,20
271,Stiftelsen PROTEKO - Nordiska Textilakademin,Pedagogik och undervisning,0,0,0,15,0,0
272,Stiftelsen PROTEKO - Nordiska Textilakademin,Teknik och tillverkning,65,130,25,115,0,0
273,Stiftelsen Stockholms Tekniska Institut,Data/IT,55,25,0,65,130,130
274,Stiftelsen Stockholms Tekniska Institut,Samhällsbyggnad och byggteknik,69,77,135,190,295,135
275,Stiftelsen Stockholms Tekniska Institut,Teknik och tillverkning,20,0,0,0,0,0
276,Stiftelsen Tillskärarakademin i Göteborg,Teknik och tillverkning,12,0,0,0,0,0
277,Stockholm School of Business,Data/IT,0,0,30,70,70,0
278,Stockholm School of Business,"Ekonomi, administration och försäljning",40,80,250,440,360,90
279,Stockholm School of Business,Juridik,0,0,0,40,60,60
280,Stockholms Internationella Handelsskola AB,Data/IT,0,0,0,0,0,0
281,Stockholms Internationella Handelsskola AB,"Ekonomi, administration och försäljning",60,60,30,125,72,72
282,Stockholms Stadsmission,Hälso- och sjukvård samt socialt arbete,0,0,0,30,0,0
283,"Stockholms stad, Frans Schartaus Handelsinstitut",Data/IT,0,0,0,30,0,0
284,"Stockholms stad, Frans Schartaus Handelsinstitut","Ekonomi, administration och försäljning",30,40,110,165,100,30
285,"Stockholms stad, Frans Schartaus Handelsinstitut",Hälso- och sjukvård samt socialt arbete,0,0,0,80,80,0
286,"Stockholms stad, Frans Schartaus Handelsinstitut",Samhällsbyggnad och byggteknik,0,0,0,0,35,35
287,"Stockholms stad, Frans Schartaus Handelsinstitut",Säkerhetstjänster,0,0,0,0,30,30
288,"Stockholms stad, Frans Schartaus Handelsinstitut",Teknik och tillverkning,0,0,0,0,0,0
289,Sunne kommun/Broby Grafiska,Data/IT,0,112,0,0,0,0
290,Sunne kommun/Broby Grafiska,"Kultur, media och design",0,56,0,0,0,0
291,Sunne kommun/Brobygrafiska,Data/IT,0,0,0,75,30,30
292,Sunne kommun/Brobygrafiska,Journalistik och information,0,0,30,55,25,25
293,Sunne kommun/Brobygrafiska,"Kultur, media och design",0,0,0,0,0,0
294,Svensk vård och kompetensutveckling i Stockholm AB,Hälso- och sjukvård samt socialt arbete,50,200,0,0,0,0
295,Sverigehälsan AB,Hälso- och sjukvård samt socialt arbete,70,0,0,80,240,160
296,Sveriges Yrkeshögskola AB - Göteborg Yrkeshögskola,Data/IT,0,0,0,0,0,0
297,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Data/IT,0,0,0,105,70,35
298,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,"Ekonomi, administration och försäljning",175,35,0,0,0,0
299,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Journalistik och information,0,0,0,0,0,0
300,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,"Kultur, media och design",0,0,0,0,0,0
301,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Pedagogik och undervisning,0,0,0,0,0,0
302,Sälj & Marknadshögskolan i Sverige AB,"Ekonomi, administration och försäljning",25,60,105,70,80,80
303,Sälj & Marknadshögskolan i Sverige AB,"Hotell, restaurang och turism",0,0,0,0,0,0
304,TCC Sverige AB,Teknik och tillverkning,0,0,0,30,0,0
305,TEC Travel Education Centre,"Hotell, restaurang och turism",40,0,0,0,0,0
306,TEC Travel Education Centre AB,"Hotell, restaurang och turism",40,0,0,60,32,32
307,TGA Utbildning AB,Data/IT,0,35,35,30,0,0
308,TUC Sweden AB - Yrkeshögskola,Data/IT,0,10,165,165,0,0
309,TUC Sweden AB - Yrkeshögskola,"Ekonomi, administration och försäljning",30,65,150,150,125,0
310,TUC Sweden AB - Yrkeshögskola,"Hotell, restaurang och turism",30,60,30,60,0,0
311,TUC Sweden AB - Yrkeshögskola,Hälso- och sjukvård samt socialt arbete,56,179,225,260,240,30
312,TUC Sweden AB - Yrkeshögskola,Samhällsbyggnad och byggteknik,40,100,40,145,80,0
313,TUC Sweden AB - Yrkeshögskola,Säkerhetstjänster,0,25,60,25,0,0
314,TUC Sweden AB - Yrkeshögskola,Teknik och tillverkning,0,0,40,80,0,0
315,TUC Sweden AB - yrkeshögskola,Data/IT,20,40,0,0,0,0
316,TUC Sweden AB - yrkeshögskola,Samhällsbyggnad och byggteknik,15,55,0,0,0,0
317,Technigo AB,Data/IT,0,0,0,140,0,0
318,Technigo AB,"Ekonomi, administration och försäljning",0,0,0,120,0,0
319,Tekniska Högskolan i Jönköping AB,Samhällsbyggnad och byggteknik,20,40,0,0,0,0
320,Tekniska Högskolan i Jönköping AB,Teknik och tillverkning,15,15,60,100,20,0
321,Tibro Hantverksakademi,"Ekonomi, administration och försäljning",0,0,0,20,0,0
322,Trelleborgs kommun,"Ekonomi, administration och försäljning",0,0,0,25,0,0
323,Trelleborgs kommun,Hälso- och sjukvård samt socialt arbete,60,120,30,60,0,0
324,Trelleborgs kommun,Teknik och tillverkning,0,0,30,60,25,25
325,"Uddevalla kommun, Vuxenutbildningen","Ekonomi, administration och försäljning",25,0,0,0,0,0
326,Umeå kommun - Dragonskolan,Teknik och tillverkning,0,0,0,35,0,0
327,Umeå kommun - Forslundagymnasiet,"Ekonomi, administration och försäljning",0,0,35,35,0,0
328,Universal Design Ventures AB ( Under namn ändring till Funka Academy AB),Journalistik och information,0,0,0,80,0,0
329,Utbildarna i Helsingborg AB,Pedagogik och undervisning,15,0,0,0,0,0
330,Vetlanda kommun Vetlanda Lärcentrum,Samhällsbyggnad och byggteknik,0,0,0,15,0,0
331,Vetlanda kommun Vetlanda Lärcentrum,Teknik och tillverkning,0,0,0,15,15,0
332,"Vilhelmina kommun, Vilhelmina Lärcentrum","Ekonomi, administration och försäljning",0,0,30,60,0,0
333,Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,"Ekonomi, administration och försäljning",0,0,0,20,40,0
334,Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,Teknik och tillverkning,0,20,60,20,40,25
335,XeDrix AB,Teknik och tillverkning,0,0,0,0,70,70
336,Xenter Yrkeshögskola ,"Ekonomi, administration och försäljning",0,0,0,30,25,25
337,Xenter Yrkeshögskola ,Juridik,0,0,0,0,0,0
338,YA Yrkeshögskola AB - Dinnovate,"Ekonomi, administration och försäljning",0,0,0,80,0,0
339,YH Akademin AB,Data/IT,0,0,0,0,115,115
340,YH Akademin AB,"Ekonomi, administration och försäljning",0,0,0,0,90,90
341,YH Akademin AB,"Hotell, restaurang och turism",0,0,0,0,0,0
342,YH Akademin AB,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0
343,YH Akademin AB,Juridik,0,0,0,0,0,0
344,YH Akademin AB,Samhällsbyggnad och byggteknik,0,0,0,0,65,65
345,YH Akademin AB,Teknik och tillverkning,0,0,0,0,165,165
346,YH Akademin(Marknad),"Ekonomi, administration och försäljning",0,0,0,0,0,0
347,YrkesAkademin YH AB,Data/IT,0,60,160,230,90,0
348,YrkesAkademin YH AB,"Ekonomi, administration och försäljning",40,35,150,365,25,0
349,YrkesAkademin YH AB,"Hotell, restaurang och turism",70,30,90,160,70,0
350,YrkesAkademin YH AB,Hälso- och sjukvård samt socialt arbete,45,0,0,80,0,0
351,YrkesAkademin YH AB,Juridik,0,0,0,35,0,0
352,YrkesAkademin YH AB,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,35,60,0,0
353,YrkesAkademin YH AB,Pedagogik och undervisning,60,0,0,0,0,0
354,YrkesAkademin YH AB,Samhällsbyggnad och byggteknik,80,0,20,195,50,0
355,YrkesAkademin YH AB,Teknik och tillverkning,160,175,315,485,205,0
356,YrkesAkademin YH AB,Transporttjänster,0,30,60,0,0,0
357,Yrkesakademin YH AB,"Hotell, restaurang och turism",60,30,0,0,0,0
358,"Älmhults kommun, Haganässkolan","Kultur, media och design",0,0,0,0,0,0
359,Åsbro Kursgård AB,Teknik och tillverkning,0,0,0,0,0,0
360,Östsvenska Yrkeshögskolan AB,Data/IT,30,30,0,0,0,0
361,Östsvenska Yrkeshögskolan AB,"Ekonomi, administration och försäljning",0,0,25,50,20,40
362,Östsvenska Yrkeshögskolan AB,Samhällsbyggnad och byggteknik,30,60,120,0,0,0
363,Östsvenska Yrkeshögskolan AB,Teknik och tillverkning,60,60,0,0,0,0
